Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
BTBD8,13947,7.197255755,7.135123366,239.5221933,0,0,848.5668029
ZNF276,24493,6.733046126,6.689814486,239.5151139,0,0,848.5571082
DDIT4,12859,6.597322323,6.609240817,239.4905719,0,0,848.5234975
MYH11,27640,11.56501236,11.5350627,239.2210206,0,0,848.1541132
GFAP,13867,6.730924335,6.720206636,239.2198714,0,0,848.1525375
LINC01951,25327,6.680984214,6.657643738,239.2157161,0,0,848.14684
TDP2,2577,6.511552507,6.529586601,239.1930984,0,0,848.1158255
DUSP10,10548,6.494411936,6.533217987,239.1742361,0,0,848.0899585
CLIC4P1,2308,6.68011622,6.702332743,239.1518329,0,0,848.0592329
PLN,9914,6.670877376,6.679404096,239.0453592,0,0,847.9131664
RN7SL110P,19824,6.810659791,6.805717809,239.0208318,0,0,847.879509
GRK5,25821,6.828735246,6.842160566,238.9746678,0,0,847.8161517
BAG2,7121,6.571837419,6.578845644,238.8084179,0,0,847.5878813
LLPH,11265,7.113607014,7.061978123,238.7819789,0,0,847.5515642
LDB3,5735,6.936533175,6.935041693,238.7126757,0,0,847.456349
F7,27573,12.42289925,12.4927017,238.698013,0,0,847.4362006
LOC102724945,18941,6.865075271,6.891337276,238.6845539,0,0,847.4177047
LYL1,8148,6.482245213,6.497905749,238.622609,0,0,847.3325653
ASB10,7546,6.861700849,6.890166824,238.6172293,0,0,847.3251702
LINC01366,9937,10.46501352,10.52377318,238.4969535,0,0,847.1597911
LOC100506532,19241,6.620767818,6.60607198,238.4750986,0,0,847.1297315
HDHD3,1509,6.585377094,6.587743076,238.4629069,0,0,847.1129617
ATP6V1FNB,16317,6.439537919,6.439899508,238.4573193,0,0,847.1052756
TCAF2,11153,6.830614422,6.885143027,238.4365043,0,0,847.0766417
RPLP1P4,14193,6.968585395,6.956559954,238.4286516,0,0,847.0658384
RAD54B,18218,12.38647738,12.45320888,238.2993285,0,0,846.8878739
FAM90A14P,2891,7.100462856,7.029440959,238.223963,0,0,846.7841167
LOC101927502,15768,10.82261208,10.82230525,238.2161469,0,0,846.7733542
TP53TG3F,23360,6.575850058,6.631226555,238.1681795,0,0,846.707297
SLCO1A2,10678,6.83171911,6.839405164,238.1629081,0,0,846.7000369
TGFBR3,5018,6.778535432,6.736877379,237.9758343,0,0,846.4422786
FBXW2,16400,6.524438842,6.490539767,237.9097843,0,0,846.3512231
ARHGAP11A,5309,6.465613621,6.49177495,237.8533838,0,0,846.2734502
CEACAM19,8456,10.61785349,10.59400722,237.8354403,0,0,846.2487033
ITPRIPL1,4498,6.617223164,6.631491649,237.8188891,0,0,846.2258749
PNRC2,3360,7.129599776,7.080956206,237.7912959,0,0,846.1878131
MITF,7390,6.424041064,6.454175505,237.748333,0,0,846.1285417
LRSAM1,27151,6.652145148,6.624387464,237.7334073,0,0,846.1079478
UBE2I,20776,6.368981571,6.403731737,237.7321843,0,0,846.1062603
WDR89,7226,6.747300905,6.779963748,237.7082514,0,0,846.0732357
DNASE1L1,16566,7.043880027,7.067315103,237.6774232,0,0,846.0306912
RNU7-187P,9193,7.029806832,6.989387875,237.6091323,0,0,845.9364269
IFNA7,28196,8.223578503,8.171065968,237.6079935,0,0,845.9348547
MS4A1,25775,6.331962503,6.322521695,237.5440116,0,0,845.8465129
OPRL1,14603,7.527400695,7.520763582,237.5439962,0,0,845.8464917
KNTC1,14448,7.416984861,7.405792745,237.5281995,0,0,845.8246769
POLR2J2,12451,6.794537382,6.826315511,237.5183437,0,0,845.8110656
SNRNP48,3128,6.885067194,6.913771832,237.4934309,0,0,845.7766575
PDHA2,5524,6.44006792,6.440441238,237.4928602,0,0,845.7758693
E2F6,6714,6.784025029,6.749722696,237.4710029,0,0,845.7456781
DEFB109C,12394,6.584757181,6.614034522,237.4654021,0,0,845.7379414
GOLGA6L9,16290,6.866777784,6.865651828,237.4418612,0,0,845.7054209
SHISAL1,22622,6.58510659,6.573639624,237.4314073,0,0,845.6909783
RHOXF1,22379,6.45526669,6.454201214,237.410798,0,0,845.6625037
LRRC75A,21977,6.760121611,6.78383929,237.3727714,0,0,845.609958
SBNO2,22937,7.011417409,6.972680233,237.3234827,0,0,845.5418377
DSTN,15034,6.62248012,6.599917523,237.3102983,0,0,845.5236135
POU3F4,21814,6.944708012,6.924339323,237.3091205,0,0,845.5219854
PPP2CA,7838,6.602229267,6.608710567,237.2985088,0,0,845.5073166
ATP5F1D,11794,6.959140189,6.969623456,237.249263,0,0,845.439234
EID3,10782,6.829129855,6.835421871,237.1973599,0,0,845.3674623
QRSL1,5417,6.705112603,6.728619212,237.1810527,0,0,845.3449093
SLC35F2,595,6.672362438,6.709346402,237.1789521,0,0,845.3420041
POLL,6922,7.224842514,7.198841572,237.1272524,0,0,845.2704922
OTOR,12379,6.978950359,6.979898546,237.1264264,0,0,845.2693495
MED13L,28240,6.408799945,6.43531382,237.0938085,0,0,845.2242237
FOXC2,16183,6.483618467,6.487601253,237.0678721,0,0,845.1883371
ARPP21,1077,6.515057892,6.559617068,237.0515826,0,0,845.1657962
WDR78,14874,7.342363847,7.357763257,237.0473408,0,0,845.1599263
SSNA1,6530,6.733899734,6.761218941,237.0280135,0,0,845.1331793
PDCD6IPP2,15385,6.820088389,6.798592107,236.9821844,0,0,845.0697478
PAH,1061,7.249519316,7.225055842,236.959352,0,0,845.0381412
ARSG,20898,6.712014272,6.712530127,236.903477,0,0,844.960781
