Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
BRD7,7650,0.151684115,7.551354367,2.526076259,0.011998326,0.895822662,-2.879346577
PLA2R1,20940,-0.113897437,6.931482315,-2.525722407,0.012010183,0.895822662,-2.88012694
SPG21,20611,-0.152090909,6.968563981,-2.524143378,0.012063224,0.895822662,-2.883607948
GLIS1,21629,-0.05517946,6.675270171,-2.522968534,0.012102823,0.895822662,-2.886196568
LRATD2,18726,-0.05488799,6.663922813,-2.522748052,0.012110267,0.895822662,-2.886682244
LINC01602,21303,0.27678297,7.198980746,2.521667718,0.012146803,0.895822662,-2.889061405
LOC101928622,12036,0.051388733,6.443075784,2.521098621,0.012166089,0.895822662,-2.890314305
POMGNT2,9044,0.139635595,6.873981305,2.51933023,0.01222619,0.895822662,-2.894205785
TMED7,23634,-0.046498751,6.545834019,-2.5191594,0.01223201,0.895822662,-2.894581572
SLC30A2,10756,0.129907458,6.863716327,2.518811023,0.012243886,0.895822662,-2.895347846
HMGN2P46,7081,-0.049862268,6.564859711,-2.518601882,0.012251021,0.895822662,-2.895807812
RIC1,9432,0.199434843,7.053389852,2.518549878,0.012252795,0.895822662,-2.895922178
ZNF136,26983,0.147173947,6.854553617,2.515748475,0.012348732,0.895822662,-2.902079699
NRN1L,704,0.388392971,7.912164781,2.515391166,0.012361016,0.895822662,-2.902864596
DNAJB1,21239,-0.416605161,10.65508993,-2.515248376,0.012365928,0.895822662,-2.903178232
POTEA,25698,-0.050257099,6.644133573,-2.513847021,0.012414229,0.895822662,-2.906255378
PUS1,8196,-0.051868449,6.238065588,-2.51318278,0.012437182,0.895822662,-2.907713366
MAPKAP1,27440,-0.051006042,6.571552936,-2.512640543,0.012455947,0.895822662,-2.908903287
LINC02647,20894,-0.048940605,6.214607406,-2.512257095,0.012469232,0.895822662,-2.909744604
CTSB,25177,0.225087344,7.699776627,2.511857977,0.012483073,0.895822662,-2.910620169
PTDSS1,21747,-0.174148372,12.08670171,-2.507461353,0.012636455,0.895822662,-2.920256441
RBL1,18415,0.289326216,8.262555494,2.507148214,0.012647443,0.895822662,-2.920942144
DCBLD2,13582,0.300292185,8.362541868,2.506806531,0.012659442,0.895822662,-2.92169026
CTH,18218,-0.145626328,12.45320888,-2.506506352,0.012669992,0.895822662,-2.92234742
BOLA2B,16959,0.275302265,7.334303353,2.506462977,0.012671518,0.895822662,-2.922442372
ARHGAP33,13882,0.313174231,8.496517164,2.506380048,0.012674434,0.895822662,-2.922623906
NDN,10922,-0.137248736,11.56673172,-2.506298816,0.012677291,0.895822662,-2.922801721
CXCL6,15124,0.093120493,6.600748584,2.505968479,0.012688916,0.895822662,-2.923524759
RAD51AP2,593,-0.051622373,6.532035883,-2.505310063,0.012712115,0.895822662,-2.924965623
ELAC2,13708,-0.05113251,6.537420345,-2.505084906,0.012720057,0.895822662,-2.925458267
CYP4Z1,18443,-0.17363067,10.13166036,-2.501829556,0.012835375,0.895822662,-2.932576253
CDCP1,5201,-0.060270105,6.387893163,-2.500374081,0.012887234,0.895822662,-2.935755852
BRICD5,10696,-0.055878119,6.348006165,-2.498955293,0.012937965,0.895822662,-2.938853597
DRD5,17290,-0.320297363,10.50623135,-2.498771006,0.012944568,0.895822662,-2.939255841
GLIS2,12755,-0.158062021,7.916322007,-2.49744201,0.01299227,0.895822662,-2.942155801
LOC105371129,26021,0.114184668,6.920742751,2.497343898,0.012995798,0.895822662,-2.942369831
ZNF74,27216,-0.130196214,6.735941981,-2.497226446,0.013000023,0.895822662,-2.942626038
TMEM249,2522,-0.065330784,6.864344796,-2.496736898,0.013017643,0.895822662,-2.943693805
KCNJ8,26599,0.333156945,7.744886502,2.495828755,0.013050386,0.895822662,-2.945674048
SLC7A3,27636,0.248043419,9.365527159,2.494635612,0.013093517,0.895822662,-2.948274694
GRAPL,25644,0.140386109,7.112026551,2.493800847,0.013123767,0.895822662,-2.950093491
AASS,9397,-0.209340942,7.97474269,-2.49287897,0.013157247,0.895822662,-2.952101408
