Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
LHPP,6820,-0.023494079,6.597269191,-0.984124952,0.325769683,0.99995045,-5.226227816
LOC105372055,4792,0.053685667,12.01839287,0.984076923,0.325793261,0.99995045,-5.226269369
BBS7,706,-0.071109765,9.300607981,-0.984003082,0.325829511,0.99995045,-5.226333251
PRRG4,22089,0.061087919,6.887231147,0.983893847,0.325883142,0.99995045,-5.226427743
CLUAP1,17666,0.090383882,8.09289798,0.983873254,0.325893253,0.99995045,-5.226445555
RPL21P76,18271,-0.0174464,6.474922822,-0.983802093,0.325928195,0.99995045,-5.226507105
HSD17B14,25795,0.116828042,10.95184124,0.98376409,0.325946857,0.99995045,-5.226539974
ABHD2,12556,0.018008522,6.409275312,0.983750289,0.325953634,0.99995045,-5.22655191
WDR7,26677,-0.051662058,6.600870733,-0.983681138,0.325987593,0.99995045,-5.226611714
CLEC3A,16819,-0.020334064,6.435725868,-0.983271505,0.326188804,0.99995045,-5.226965894
RTN4,5715,0.045047502,6.826196426,0.983228726,0.326209822,0.99995045,-5.227002873
RPL31P17,10578,0.09302252,8.100653854,0.983225045,0.32621163,0.99995045,-5.227006054
GUCY2F,10478,-0.018044227,6.464060309,-0.983036415,0.326304316,0.99995045,-5.227169091
TARBP1,9269,-0.034338058,6.455503145,-0.982703073,0.326468152,0.99995045,-5.227457132
OAS2,204,0.063418653,6.734217973,0.982671127,0.326483855,0.99995045,-5.22748473
ALG13,13404,-0.129743091,11.11608297,-0.982660972,0.326488847,0.99995045,-5.227493503
DCAF12L1,18268,0.065083336,6.731197646,0.982386894,0.3266236,0.99995045,-5.22773025
F13A1,22363,-0.040864333,6.725340342,-0.982362328,0.32663568,0.99995045,-5.227751467
CNN2,14896,-0.040611901,6.70963657,-0.982276299,0.326677985,0.99995045,-5.227825763
ADAT3,680,0.10882536,9.356158656,0.982255086,0.326688418,0.99995045,-5.227844082
CABP5,22166,-0.04823677,6.519321358,-0.982204335,0.326713377,0.99995045,-5.227887907
TST,20033,-0.203932331,7.744186419,-0.982127605,0.326751115,0.99995045,-5.227954162
ORC6,5156,-0.118160574,9.865290228,-0.982121226,0.326754253,0.99995045,-5.22795967
ZNF561,9424,-0.028236334,6.467805268,-0.982116354,0.326756649,0.99995045,-5.227963876
RBPMS,15384,-0.023106444,6.742770031,-0.982112589,0.326758501,0.99995045,-5.227967128
NME9,9473,-0.201678119,7.688184047,-0.982100286,0.326764552,0.99995045,-5.22797775
PSG7,56,0.210531109,8.111443226,0.982028934,0.326799649,0.99995045,-5.228039355
DEFA5,14754,-0.019420103,6.632964563,-0.981967139,0.326830047,0.99995045,-5.228092705
RABIF,22286,-0.023172569,6.724627708,-0.981901017,0.326862575,0.99995045,-5.228149787
LINC02876,27776,-0.019518709,6.522412775,-0.981748075,0.326937822,0.99995045,-5.228281803
OGDH,3929,-0.077148799,10.32031046,-0.981589453,0.327015876,0.99995045,-5.228418701
CERK,20000,0.17537988,10.7912,0.981419744,0.327099398,0.99995045,-5.228565144
LYVE1,11454,0.016676673,6.489800512,0.981404285,0.327107007,0.99995045,-5.228578482
SMIM14,22355,0.041075401,6.940621326,0.981400784,0.32710873,0.99995045,-5.228581503
NAMPT,13503,0.157874092,7.940817837,0.98131734,0.327149803,0.99995045,-5.228653496
MGAT5,3227,0.040654971,6.953897865,0.981220681,0.327197385,0.99995045,-5.228736884
SIKE1,746,-0.017968206,6.438565532,-0.981172037,0.327221333,0.99995045,-5.228778846
CACNA1D,28181,-0.025970556,6.410160862,-0.981121466,0.32724623,0.99995045,-5.228822468
EMC2,881,-0.164851624,6.948997765,-0.981119215,0.327247338,0.99995045,-5.228824409
GNB5,4121,-0.091163897,8.822742007,-0.98101893,0.327296715,0.99995045,-5.228910908
PPP4R3B,23645,-0.07593448,8.414699211,-0.980965594,0.327322977,0.99995045,-5.228956907
GLRA3,22102,-0.143410007,8.490099971,-0.9808576,0.327376158,0.99995045,-5.22905004
RBM25,14509,-0.145127062,8.510635811,-0.980840268,0.327384693,0.99995045,-5.229064986
IRF5,27569,0.081287675,7.009113397,0.980827238,0.32739111,0.99995045,-5.229076222
TMEM154,22321,0.01644389,6.476296632,0.980799627,0.327404708,0.99995045,-5.229100031
CPP,25138,0.020511527,6.473496783,0.980765117,0.327421704,0.99995045,-5.229129788
MRPL11,7569,-0.025476605,6.417817403,-0.980712507,0.327447615,0.99995045,-5.229175149
PGBD2,21282,0.038610572,6.719802533,0.980629488,0.327488507,0.99995045,-5.229246727
LINC00323,9484,-0.084582694,7.513405324,-0.980563912,0.327520809,0.99995045,-5.229303261
LOC105375920,3893,-0.117400443,10.98669151,-0.980560302,0.327522587,0.99995045,-5.229306372
SNU13,3417,-0.08605846,7.583415369,-0.980531638,0.327536708,0.99995045,-5.229331083
SPRR2F,26642,-0.096210877,8.81325254,-0.980529781,0.327537622,0.99995045,-5.229332684
PNMA8A,21014,-0.088557626,7.658922623,-0.980452343,0.327575771,0.99995045,-5.229399436
LOC105373974,2883,-0.126345662,8.50493892,-0.9802948,0.327653392,0.99995045,-5.229535225
SAMHD1,14777,-0.027341707,6.520386689,-0.980207653,0.327696335,0.99995045,-5.229610329
LRRN3,11460,0.06307565,6.95178387,0.98020726,0.327696529,0.99995045,-5.229610668
ZNF830,6000,-0.189805788,7.115868951,-0.980161881,0.327718891,0.99995045,-5.229649773
IFITM3P2,14636,-0.139139718,6.876985835,-0.980158497,0.327720559,0.99995045,-5.22965269
LOC388572,27659,0.101278323,11.64653627,0.980063934,0.327767162,0.99995045,-5.229734173
REL,4571,-0.02132894,6.584060093,-0.97973578,0.327928917,0.99995045,-5.230016878
LAMC2,8535,0.022559354,6.697102353,0.979684391,0.327954253,0.99995045,-5.230061142
IGFALS,9698,-0.142704212,12.68551297,-0.979652183,0.327970133,0.99995045,-5.230088882
MYO7B,14887,-0.029640922,6.54975314,-0.979087122,0.328248811,0.99995045,-5.230575421
UTS2,16784,-0.020869657,6.560125,-0.978954249,0.328314364,0.99995045,-5.23068979
AP3B1,9833,0.07110731,7.412305245,0.97892484,0.328328874,0.99995045,-5.2307151
ASH1L,16033,0.057619732,6.85858808,0.978788202,0.328396296,0.99995045,-5.23083269
