probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
22978_at,1.092400125,8.435835042,6.116990151,1.66306E-08,4.79264E-08,9.040226742,NT5C2
50862_at,1.092337809,7.764945414,8.150136156,8.22864E-13,8.99923E-12,18.7290306,RNF141
90806_at,1.092297674,6.938648076,7.935988647,2.42589E-12,2.18907E-11,17.66934143,ANGEL2
8562_at,1.09227866,9.546226736,7.322975203,5.15546E-11,2.8812E-10,14.67667457,DENR
306_at,1.092218431,7.529721269,4.220630101,5.19307E-05,8.30793E-05,1.283158753,ANXA3
79927_at,-1.091887686,6.298805611,-7.204372445,9.24049E-11,4.78469E-10,14.10594543,FAM110D
56898_at,1.091791856,6.412134382,8.750087672,3.87202E-14,7.78215E-13,21.72695856,BDH2
8801_at,1.091704979,8.501475567,7.12010396,1.39635E-10,6.87066E-10,13.70230003,SUCLG2
57089_at,1.091532269,6.301301649,9.972320644,7.12205E-17,5.35235E-15,27.91062233,ENTPD7
51164_at,1.091485269,7.857363297,7.328407339,5.01916E-11,2.81608E-10,14.70288562,DCTN4
836_at,1.091252185,7.824033131,10.68639194,1.77761E-18,3.36119E-16,31.53496216,CASP3
154075_at,1.091176812,6.462833867,4.750712629,6.46127E-06,1.17521E-05,3.274400561,SAMD3
440560_at,-1.091099071,5.63635816,-8.581183635,9.18658E-14,1.53615E-12,20.87924849,PRAMEF11
110599564_at,-1.090853422,6.657169753,-5.458820011,3.23001E-07,7.24127E-07,6.162024616,EEF1AKMT4
1371_at,1.090784693,7.489220875,8.540206559,1.13246E-13,1.81628E-12,20.67398306,CPOX
