Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
PNMA5,3525,9.541041203,9.328935042,62.02188601,8.08E-185,1.04E-184,412.7642808
ZGRF1,2584,8.397671469,8.528272207,62.01877605,8.20E-185,1.06E-184,412.7489163
SLC9A4,22850,10.77230353,10.59628014,62.01746914,8.25E-185,1.07E-184,412.7424593
RASGRP4,19379,9.664944414,9.66066723,62.01334815,8.42E-185,1.09E-184,412.7220985
CORO2A,2343,8.994136709,8.988085611,62.0084995,8.63E-185,1.11E-184,412.698141
EPB41L5,1140,9.353961327,9.514953952,62.00762368,8.67E-185,1.12E-184,412.6938133
GDAP2,23703,9.529059183,9.534258749,61.98555493,9.66E-185,1.25E-184,412.5847487
PAMR1,18640,7.495353822,7.423899192,61.98106489,9.88E-185,1.28E-184,412.5625547
LOXL2,4710,8.814731886,9.006706534,61.97979145,9.94E-185,1.28E-184,412.55626
RPP30,18150,8.201206724,8.148683695,61.97615133,1.01E-184,1.31E-184,412.5382658
POU2F1,27037,10.05440443,9.918145395,61.97523216,1.02E-184,1.31E-184,412.533722
TTTY15,27418,8.701786116,8.636876537,61.97481254,1.02E-184,1.32E-184,412.5316476
GOLGA8M,13833,11.96178716,11.88964934,61.96787591,1.05E-184,1.36E-184,412.4973547
RN7SL764P,3323,8.45781421,8.478613189,61.9627919,1.08E-184,1.40E-184,412.4722187
TRABD2B,9747,7.674484045,7.630333384,61.96118405,1.09E-184,1.41E-184,412.4642689
QRICH1,17714,7.642794433,7.780351914,61.95758783,1.11E-184,1.43E-184,412.4464872
PSTPIP1,13723,8.006171289,7.873415421,61.95718648,1.11E-184,1.43E-184,412.4445027
ILVBL,6633,10.24039095,10.0191713,61.94785524,1.16E-184,1.50E-184,412.3983596
TMPRSS4,23734,7.895423639,7.993180921,61.93767317,1.22E-184,1.58E-184,412.3480026
OR4F16,17472,7.478031865,7.308672723,61.9167793,1.36E-184,1.75E-184,412.2446468
SNX4,18470,7.486691886,7.44479098,61.91585287,1.36E-184,1.76E-184,412.2400633
GYPA,26790,13.27791067,13.49194679,61.90873079,1.41E-184,1.82E-184,412.2048253
FRAT2,16479,8.375644396,8.419187707,61.9031646,1.45E-184,1.87E-184,412.177283
SFRP4,7493,8.752392405,8.833882108,61.9016363,1.46E-184,1.89E-184,412.1697204
TMF1,23926,6.774507087,6.804419953,61.89277338,1.53E-184,1.97E-184,412.1258602
CDC14C,2034,8.179980337,8.214002393,61.88853435,1.56E-184,2.01E-184,412.1048805
DYNLT3,24139,8.627073786,8.747820612,61.88763173,1.57E-184,2.02E-184,412.1004131
EIF5B,11085,9.779950754,9.887746168,61.88489049,1.59E-184,2.05E-184,412.0868454
METTL15,5831,6.505936815,6.586717594,61.88343715,1.60E-184,2.06E-184,412.079652
PAX6-AS1,13166,7.593028323,7.389061506,61.880039,1.63E-184,2.10E-184,412.0628319
SF3B5,11441,8.445037229,8.5698365,61.87603643,1.66E-184,2.14E-184,412.0430191
ARHGAP27,8274,6.999106996,7.116203618,61.87237608,1.69E-184,2.18E-184,412.0248993
PXMP2,15165,7.639995956,7.489279759,61.8723402,1.69E-184,2.18E-184,412.0247217
CSMD1,12901,8.996569201,9.118759689,61.87144683,1.70E-184,2.19E-184,412.0202991
ZNF366,6442,7.143274502,7.070574168,61.86948562,1.71E-184,2.21E-184,412.01059
GXYLT1,17951,10.50720817,10.42906418,61.86759602,1.73E-184,2.23E-184,412.0012353
ANXA8L1,3519,7.932379322,7.918580334,61.85854755,1.81E-184,2.33E-184,411.956436
CSAD,12923,8.829273093,8.956597547,61.85611812,1.83E-184,2.36E-184,411.9444069
TGFB1I1,2369,7.138522859,7.336616118,61.85410991,1.85E-184,2.39E-184,411.9344631
ZDBF2,24427,6.899487197,6.933538561,61.8523022,1.87E-184,2.41E-184,411.9255119
LRRC77P,17541,8.318761251,8.329669085,61.84438278,1.94E-184,2.50E-184,411.8862947
DENR,6217,6.747264873,6.89925175,61.82401501,2.15E-184,2.77E-184,411.7854135
