Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
SARS2,1254,-20.37207956,6.781379036,-275.3714192,0,0,890.50005
WNT11,24868,-21.54257484,7.175191162,-275.3244705,0,0,890.4456627
ATP10B,4776,-20.27121736,6.753080354,-275.2832197,0,0,890.3978681
RMDN3,20770,-33.517015,11.2202849,-275.2799692,0,0,890.3941016
ZNF132,7973,-27.50005603,9.19233167,-275.1992358,0,0,890.3005375
LINC02189,27806,-24.56098609,8.183895141,-275.1677285,0,0,890.264015
TK1,22404,-26.35707719,8.811373506,-275.1259974,0,0,890.2156343
FCRLB,26794,-41.29693217,13.76123432,-275.0885329,0,0,890.1721933
PHC1,16854,-29.51876894,9.846817188,-275.088205,0,0,890.1718131
CEP89,170,-19.83140352,6.610920162,-275.0429222,0,0,890.1192981
LYPLAL1,25445,-29.92412017,10.00206838,-275.0333591,0,0,890.1082066
MS4A12,22476,-23.85340471,7.940258227,-275.0083579,0,0,890.0792073
FAM181B,14352,-29.15148953,9.7175278,-275.0056812,0,0,890.0761024
PCDHGA12,10517,-25.89250035,8.671396123,-274.993583,0,0,890.0620684
ZNF780A,7712,-35.86404826,11.94923526,-274.9927088,0,0,890.0610543
PCDHB10,4603,-20.72928765,6.889118539,-274.9399828,0,0,889.9998838
ARL13A,26512,-21.85882663,7.266884348,-274.9324858,0,0,889.9911851
TENT4A,14575,-33.17656319,11.05126642,-274.9190726,0,0,889.9756212
MERTK,4865,-20.58044581,6.847721659,-274.909676,0,0,889.9647175
COL10A1,15077,-21.03269152,7.007707077,-274.8999733,0,0,889.9534581
ATP6V0E1,21797,-21.25557034,7.087635407,-274.897267,0,0,889.9503176
THG1L,3925,-31.10510481,10.3951266,-274.8931094,0,0,889.9454927
PNKD,1592,-27.91749941,9.29487312,-274.8918052,0,0,889.9439792
LOC101927245,7683,-22.16640024,7.412119154,-274.8852954,0,0,889.9364245
PLA2G4A,11606,-21.00183971,6.991971661,-274.8224143,0,0,889.8634407
ABCA9,7070,-25.52858845,8.495268134,-274.8013188,0,0,889.8389518
SPATA31B1P,2924,-20.2205576,6.742064331,-274.796333,0,0,889.8331637
TG,23711,-20.06469649,6.706599109,-274.787991,0,0,889.8234791
GPIHBP1,22216,-20.89954175,6.942316918,-274.7621204,0,0,889.7934428
CAMKK1,26466,-35.25583008,11.77434771,-274.7283052,0,0,889.7541781
MYL12A,1737,-19.61679947,6.533165452,-274.7270911,0,0,889.7527682
C4orf46,130,-31.97626043,10.71148357,-274.7112493,0,0,889.7343715
AMZ1,22843,-19.74490711,6.559615648,-274.6775847,0,0,889.695274
HMBS,26058,-20.16548059,6.736220535,-274.6424132,0,0,889.6544208
ANAPC5,23049,-19.468154,6.471856911,-274.6392582,0,0,889.6507558
SFXN1,13406,-21.21109502,7.076929086,-274.5956045,0,0,889.6000419
MGMT,4099,-28.55536952,9.504708815,-274.4947305,0,0,889.4828201
MYL10,24081,-20.43313317,6.861913443,-274.4253763,0,0,889.4021996
MYL1,13514,-21.20965266,7.059553943,-274.417687,0,0,889.3932599
DNAI2,27073,-34.89621389,11.66635309,-274.4117122,0,0,889.3863132
RNA5SP335,19980,-29.99383558,10.05687619,-274.4091151,0,0,889.3832936
ZNF205,5051,-24.03526674,7.993057152,-274.3905696,0,0,889.3617305
CLTC,25659,-22.96843599,7.632934139,-274.3891749,0,0,889.3601088
RSL24D1P11,7657,-22.88085497,7.653104399,-274.3825859,0,0,889.3524472
LINC01446,9798,-19.94242997,6.601572515,-274.362089,0,0,889.3286125
CPZ,17228,-27.43424392,9.168951098,-274.351325,0,0,889.3160948
CDH5,17911,-25.48479278,8.503023779,-274.3413573,0,0,889.3045028
DHX33-DT,511,-33.3872992,11.15313868,-274.3112182,0,0,889.2694495
CA3,4012,-19.79908157,6.582304321,-274.2740425,0,0,889.2262066
NUTM2A,11437,-32.0635211,10.69880344,-274.2627946,0,0,889.2131218
ZFHX4-AS1,16179,-19.46811525,6.475891401,-274.2576058,0,0,889.2070853
MYCBPAP,20041,-28.38417539,9.421499471,-274.23771,0,0,889.1839383
TRIM37,21391,-25.11443878,8.397922302,-274.228486,0,0,889.1732065
CASP6,1344,-19.72552524,6.58669529,-274.2232549,0,0,889.16712
AMIGO1,17296,-32.38348272,10.83746673,-274.1945012,0,0,889.1336627
FAM90A12P,19030,-33.14966099,11.04800374,-274.1579461,0,0,889.0911224
ZNF676,4734,-25.26902627,8.433994069,-274.1555641,0,0,889.0883501
SMCO2,23969,-33.1556391,11.07090008,-274.1414654,0,0,889.0719412
AURKA,22754,-32.36300725,10.80778994,-274.0873436,0,0,889.0089427
KIF6,417,-33.62623749,11.23031747,-274.0844655,0,0,889.0055923
CHRNB3,16544,-20.72642317,6.89540393,-274.0833637,0,0,889.0043095
GCLC,17589,-27.11111433,9.006296398,-274.0543523,0,0,888.9705339
XKR6,8056,-19.90751712,6.620239276,-274.0252886,0,0,888.9366935
SKP2,25791,-19.62408892,6.551429906,-274.0184243,0,0,888.9287006
OPA3,15955,-30.7381526,10.22442302,-274.0067591,0,0,888.9151168
EXOC3,2748,-20.16624264,6.721857138,-273.9790563,0,0,888.8828551
RAB7A,14116,-21.23038646,7.077059373,-273.951175,0,0,888.8503819
CYTH1,12643,-20.09043691,6.632473813,-273.9303983,0,0,888.8261812
SBK3,17902,-25.27988143,8.428960199,-273.8921743,0,0,888.7816526
INKA2,4312,-20.93094862,7.010209405,-273.8559943,0,0,888.7394992
LINC01412,24098,-21.98342972,7.34959625,-273.7993571,0,0,888.673499
LRCH2,2566,-20.42541194,6.772745406,-273.7955861,0,0,888.6691041
