Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
C7orf26,3669,0.010115665,6.248362768,0.850518041,0.395649221,0.997655044,-5.701039394
DYRK3,17659,0.091602189,7.25733929,0.850356841,0.39573868,0.997655044,-5.701169007
TMEM70,20260,-0.096160045,8.115078045,-0.85023796,0.395804663,0.997655044,-5.701264578
TIMM10B,471,0.013601549,6.370036513,0.850213739,0.395818107,0.997655044,-5.701284048
COL8A2,23898,0.052346216,6.917915832,0.850141843,0.395858015,0.997655044,-5.701341839
LOC642846,12064,0.010723576,6.244019221,0.849985213,0.395944966,0.997655044,-5.701467723
GYPB,5726,0.105374954,11.69050149,0.849829611,0.396031358,0.997655044,-5.701592757
FCRLA,18047,-0.01522869,6.551436311,-0.849657509,0.396126924,0.997655044,-5.701731024
GRM6,5911,0.012870217,6.501000663,0.849516464,0.396205255,0.997655044,-5.701844319
DIPK2B,12018,-0.049232501,7.517543884,-0.849496645,0.396216263,0.997655044,-5.701860237
CRNDE,8906,-0.036182291,6.607080849,-0.849490153,0.396219868,0.997655044,-5.701865451
PRM2,7110,0.039453829,9.115763507,0.849477271,0.396227023,0.997655044,-5.701875797
TRAF5,12716,0.077698384,9.445636359,0.849422386,0.396257507,0.997655044,-5.701919876
ATPAF2,27532,-0.057318067,8.079005191,-0.849320939,0.396313858,0.997655044,-5.702001344
MAPK11,19488,0.111566791,11.98286346,0.849312466,0.396318564,0.997655044,-5.702008147
EEF1B2,1824,-0.098405505,7.66244488,-0.849295355,0.396328069,0.997655044,-5.702021887
ZNF701,2347,0.022412923,6.847985383,0.849291448,0.39633024,0.997655044,-5.702025025
CLDN15,26791,-0.021866938,7.473653647,-0.849252467,0.396351894,0.997655044,-5.702056324
NLRP11,13074,0.025553192,6.557522228,0.849195124,0.39638375,0.997655044,-5.702102366
CDO1,15457,-0.015029221,6.539373957,-0.849103083,0.396434885,0.997655044,-5.70217626
DNAJB12,3627,0.071772968,8.084708936,0.849070527,0.396452973,0.997655044,-5.702202396
ZNF205,11983,-0.015980428,6.615153125,-0.849059259,0.396459234,0.997655044,-5.70221144
INPP5J,25751,-0.016165273,6.470728568,-0.84903147,0.396474674,0.997655044,-5.702233748
TNXB,16954,-0.027135943,6.916886433,-0.849015873,0.39648334,0.997655044,-5.702246269
OR4C12,24830,0.106892367,7.485617322,0.848968779,0.396509507,0.997655044,-5.70228407
ATR,5406,-0.014162985,6.51074213,-0.848879502,0.396559116,0.997655044,-5.702355726
GAL3ST3,22813,-0.010584071,6.447968769,-0.848832126,0.396585444,0.997655044,-5.702393749
C9orf72,26874,0.031149455,6.584362762,0.84875618,0.39662765,0.997655044,-5.702454696
CLEC12B,19156,0.089906723,7.148858368,0.848723341,0.3966459,0.997655044,-5.702481048
ABHD2,10395,-0.014792626,6.557690147,-0.84867997,0.396670005,0.997655044,-5.70251585
AP5B1,12179,0.045864397,11.0377713,0.848599991,0.396714458,0.997655044,-5.702580021
ARHGAP42,1351,-0.0391288,9.108509156,-0.848562475,0.396735311,0.997655044,-5.702610121
HTR7,1867,0.040072551,11.85654373,0.848508401,0.396765368,0.997655044,-5.702653503
TTC36,18251,-0.009028763,6.354795079,-0.848503085,0.396768323,0.997655044,-5.702657767
EFL1,7321,-0.040282676,9.079292058,-0.848492528,0.396774191,0.997655044,-5.702666236
C1orf43,1934,-0.087092057,7.396100389,-0.848315282,0.396872727,0.997655044,-5.702808412
C16orf90,8845,0.068009121,8.275195644,0.848311822,0.39687465,0.997655044,-5.702811187
CD200R1L,19737,-0.056326236,7.235569833,-0.848260563,0.396903149,0.997655044,-5.702852298
LINC00628,25670,0.061133587,7.4391828,0.848250646,0.396908662,0.997655044,-5.702860252
GART,22218,0.044461733,8.626364978,0.848085279,0.397000612,0.997655044,-5.702992862
MEP1B,14862,-0.070709713,8.25549204,-0.848033589,0.397029355,0.997655044,-5.703034308
NONOP2,24742,-0.038530501,7.21053211,-0.848013501,0.397040527,0.997655044,-5.703050415
FAM32A,18691,0.010816805,6.527681603,0.847992118,0.397052418,0.997655044,-5.703067558
ABCA5,12283,0.012219271,6.602745348,0.847983278,0.397057334,0.997655044,-5.703074646
BANP,21658,0.012133081,6.588845905,0.847976478,0.397061115,0.997655044,-5.703080097
CORO1B,1221,0.011991845,6.58552861,0.847894318,0.397106808,0.997655044,-5.703145965
IFIT1B,22548,0.010152205,6.593395336,0.84787942,0.397115094,0.997655044,-5.703157908
SMARCA5,4787,-0.059465168,7.322401478,-0.847774647,0.397173368,0.997655044,-5.703241894
APOA4,10350,-0.01433715,6.619367227,-0.84760966,0.397265143,0.997655044,-5.703374126
MPPE1,24841,-0.041996981,7.632622337,-0.847364728,0.397401412,0.997655044,-5.703570384
CD38,6653,-0.077036175,6.800519809,-0.847338924,0.397415769,0.997655044,-5.703591056
SIK2,7219,-0.070978848,6.655433093,-0.847260274,0.397459533,0.997655044,-5.703654063
LOC105374996,25218,0.011282833,6.222996086,0.84717594,0.397506464,0.997655044,-5.703721617
WDR38,27321,-0.067186522,9.050313101,-0.846954618,0.397629641,0.997655044,-5.703898869
LOC105373874,22541,0.049417796,8.796011648,0.84694728,0.397633725,0.997655044,-5.703904745
HNRNPDP2,24154,-0.050703551,8.309485569,-0.846880768,0.397670747,0.997655044,-5.703958003
DLX2,13747,0.044164315,9.708952221,0.846875043,0.397673934,0.997655044,-5.703962588
RNLS,20442,0.029574062,6.990622384,0.846849983,0.397687884,0.997655044,-5.703982653
HSD3B2,27941,0.011600861,6.64829805,0.846718277,0.397761203,0.997655044,-5.704088099
