probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
54955_at,1.013301382,6.541712504,11.29952283,6.71698E-20,2.36004E-18,34.7403565,C1orf109
22868_at,1.013773466,7.185829905,9.209081174,3.4123E-15,2.61201E-14,24.03291208,FASTKD2
1466_at,1.013791859,9.558778523,3.960475865,0.000135857,0.000197649,0.185841901,CSRP2
6491_at,1.014017179,7.010938596,9.07444464,6.84248E-15,4.78856E-14,23.34603855,STIL
28951_at,1.014835357,8.232276287,5.223522833,8.84538E-07,1.5783E-06,5.020866123,TRIB2
7913_at,1.0151725,10.34985116,7.214008271,8.50836E-11,2.55625E-10,14.05744261,DEK
5538_at,1.015320857,10.26112831,8.730195022,4.0324E-14,2.35327E-13,21.59554483,PPT1
8492_at,1.015400267,6.186888913,5.960090659,3.35461E-08,7.03696E-08,8.203275053,PRSS12
10081_at,1.015619807,7.638076268,11.66703486,1.01151E-20,4.79624E-19,36.61191392,PDCD7
9749_at,1.015716041,6.899823845,8.671582174,5.4493E-14,3.08693E-13,21.2984767,PHACTR2
84064_at,1.015723285,8.879523979,9.769586085,1.86901E-16,2.06834E-15,26.901569,HDHD2
2773_at,1.015730308,8.415928498,10.25635692,1.49293E-17,2.34153E-16,29.39878614,GNAI3
51118_at,1.015956965,8.716988149,8.894607962,1.73019E-14,1.09964E-13,22.43043535,UTP11
9949_at,1.015957894,7.064485775,10.08057606,3.71904E-17,5.20717E-16,28.49680884,AMMECR1
7385_at,1.016158167,9.521124878,7.011245852,2.29927E-10,6.45625E-10,13.08116104,UQCRC2
6643_at,1.016252792,7.72226652,9.656256102,3.36506E-16,3.44133E-15,26.32066601,SNX2
57147_at,1.016310225,6.777544258,12.13631474,9.12815E-22,6.81255E-20,38.98953519,SCYL3
84233_at,1.016642342,9.169996895,10.37152049,8.21087E-18,1.39231E-16,29.98966464,TMEM126A
80318_at,1.01680467,6.484936171,8.902450476,1.66167E-14,1.06003E-13,22.47031465,GKAP1
201562_at,1.016899531,8.089500464,11.05529064,2.37257E-19,6.88382E-18,33.49286199,HACD2
3032_at,1.017026063,10.47844692,7.612148077,1.17907E-11,4.10262E-11,16.00053599,HADHB
57396_at,1.017074083,7.347958113,6.225516951,9.82994E-09,2.18866E-08,9.402002626,CLK4
2824_at,1.017131199,8.019995522,7.019224357,2.21145E-10,6.225E-10,13.11939134,GPM6B
7071_at,1.01737867,9.142494937,6.424154814,3.866E-09,9.06597E-09,10.31475344,KLF10
51699_at,1.017517699,10.01850252,9.56543854,5.38952E-16,5.17333E-15,25.85541246,VPS29
11311_at,1.018052239,8.620874585,7.392788716,3.51606E-11,1.12765E-10,14.92594625,VPS45
84792_at,1.01807684,9.363334939,9.836325785,1.32182E-16,1.54105E-15,27.24379569,FAM220A
8364_at,1.018167538,12.72831524,5.368992135,4.71512E-07,8.64755E-07,5.63098109,H4C3
55227_at,1.018234722,8.473035057,3.79764187,0.00024399,0.000347148,-0.36854572,LRRC1
55145_at,1.018542776,6.700370456,8.322017498,3.26146E-13,1.53829E-12,19.53401443,THAP1
5683_at,1.01857531,9.098263133,9.463574805,9.13831E-16,8.1422E-15,25.33390041,PSMA2
84947_at,1.019094826,6.186113641,9.433701638,1.06681E-15,9.2635E-15,25.18103379,SERAC1
57181_at,1.019157607,8.502331129,7.888379401,2.94406E-12,1.14585E-11,17.36626255,SLC39A10
2633_at,1.019299149,8.088970361,4.338388227,3.28857E-05,5.05047E-05,1.537472679,GBP1
114625_at,1.019367386,6.394148927,11.89634193,3.11699E-21,1.84533E-19,37.7755836,ERMAP
1207_at,1.020116923,10.31265114,10.77352079,1.02045E-18,2.36994E-17,32.05074219,CLNS1A
55763_at,1.020181222,8.899354325,6.488325094,2.85264E-09,6.81122E-09,10.61230244,EXOC1
2037_at,1.020506257,8.10758516,5.679635585,1.19519E-07,2.35157E-07,6.965053797,EPB41L2
57621_at,1.020802407,6.744050977,9.71548204,2.47483E-16,2.64309E-15,26.62420474,ZBTB2
55094_at,1.020900661,6.237188039,9.962621392,6.86154E-17,8.78983E-16,27.89161509,GPATCH1
100506844_at,1.021044453,7.619495947,10.72058452,1.3426E-18,2.9709E-17,31.77953331,GIHCG
51426_at,1.021104249,5.896277666,10.41422518,6.57844E-18,1.15469E-16,30.20874319,POLK
114932_at,1.021146224,9.104409934,7.226969302,7.9821E-11,2.40945E-10,14.12017211,MRFAP1L1
11118_at,1.021234164,7.70835252,8.408269061,2.09978E-13,1.03295E-12,19.96812996,BTN3A2
5111_at,1.021295986,9.977719233,5.799058372,6.98208E-08,1.41297E-07,7.488570961,PCNA
22875_at,1.021479387,6.640917334,8.475695412,1.48744E-13,7.58493E-13,20.30809188,ENPP4
93035_at,1.021502233,6.876339084,2.18463121,0.031121235,0.037095571,-4.807211541,PKHD1L1
5955_at,1.021675265,9.396339575,6.176202668,1.23694E-08,2.72359E-08,9.177423491,RCN2
145788_at,1.022023953,5.903236396,9.658057856,3.33375E-16,3.41785E-15,26.32989878,C15orf65
5931_at,1.022441737,10.20106186,6.804616818,6.27125E-10,1.64895E-09,12.0966822,RBBP7
114908_at,1.022514477,10.1844892,7.029985104,2.09824E-10,5.92016E-10,13.17097792,TMEM123
2923_at,1.022582247,7.500693928,10.00771867,5.42912E-17,7.19807E-16,28.12298413,PDIA3
965_at,1.023117526,7.07291443,5.649323058,1.36874E-07,2.6706E-07,6.833085073,CD58
6882_at,1.023490269,8.026591068,10.37680633,7.98864E-18,1.35982E-16,30.01678251,TAF11
541_at,1.023553024,8.565429836,6.81990906,5.8245E-10,1.53907E-09,12.16916035,ALDH7A1P1
4801_at,1.023569569,6.771788426,10.7641842,1.07104E-18,2.4762E-17,32.00291346,NFYB
5527_at,1.024150319,8.499916561,8.982312924,1.10084E-14,7.33084E-14,22.87668009,PPP2R5C
175_at,1.024598408,6.976445295,8.623569124,6.97224E-14,3.85998E-13,21.05537155,AGA
51319_at,1.024823581,4.897656232,19.43185967,1.00198E-36,6.84149E-33,72.92111143,RSRC1
1105_at,1.024937513,7.927314228,7.100628738,1.48508E-10,4.29848E-10,13.51033648,CHD1
56254_at,1.024990239,8.949580352,8.003364105,1.64674E-12,6.72886E-12,17.93845215,RNF20
10600_at,1.025343634,8.258953007,6.942761286,3.21003E-10,8.83082E-10,12.75365633,USP16
51566_at,1.025937343,7.698602315,10.57373248,2.87522E-18,5.66853E-17,31.02680595,ARMCX3
6399_at,1.026167276,8.038445484,10.34464096,9.44032E-18,1.57776E-16,29.85176091,TRAPPC2
91298_at,1.026233435,7.280363817,9.993373843,5.84894E-17,7.65557E-16,28.04938671,C12orf29
121601_at,1.026701803,6.909475573,4.970038266,2.58928E-06,4.38954E-06,3.981619677,ANO4
3550_at,1.027754082,9.665892959,7.950179024,2.15494E-12,8.60464E-12,17.67353863,IK
55041_at,1.027924008,8.489901171,10.39269228,7.35634E-18,1.26841E-16,30.09828017,PLEKHB2
51186_at,1.028402287,10.42444353,8.567040181,9.31693E-14,4.98428E-13,20.76943691,TCEAL9
29979_at,1.028803516,8.108715259,9.406814325,1.22625E-15,1.04879E-14,25.04347796,UBQLN1
79956_at,1.029258083,8.367525818,7.420202746,3.06878E-11,9.95421E-11,15.05971959,ERMP1
55789_at,1.030020157,5.241513399,6.66242611,1.24322E-09,3.11748E-09,11.42582785,DEPDC1B
79673_at,1.030493022,7.106003578,10.30609907,1.15314E-17,1.88365E-16,29.65401346,ZNF329
79980_at,1.030569708,5.682777018,9.919328296,8.59093E-17,1.06652E-15,27.66952296,DSN1
892_at,1.030752161,9.61864506,9.75755467,1.98943E-16,2.18742E-15,26.83988422,CCNC
2110_at,1.031185777,5.673726185,8.942333867,1.3529E-14,8.78934E-14,22.67319486,ETFDH
7398_at,1.031566805,8.477337981,8.769556178,3.29361E-14,1.96466E-13,21.79521304,USP1
1033_at,1.03231096,7.199916138,4.336358129,3.31444E-05,5.08866E-05,1.529979009,CDKN3
10213_at,1.032561907,9.939449228,9.342182496,1.71372E-15,1.41149E-14,24.7129508,PSMD14
8813_at,1.032569311,10.04624417,8.498874728,1.32104E-13,6.81448E-13,20.42507725,DPM1
